stock_code,stock_name,close,prev_close,amount_yuan,volume,return,amount_100m,snapshot_source,snapshot_date
603269,海鸥股份,18.4300000000,18.2300000000,403154332.0000000000,221740.0000000000,0.0110000000,4.0315433200,东方财富沪深京A股延迟行情直连,2026-08-25
688028,沃尔德,89.6500000000,87.8300000000,402854571.0000000000,45788.0000000000,0.0207000000,4.0285457100,东方财富沪深京A股延迟行情直连,2026-08-25
600360,华微电子,10.3600000000,10.4600000000,402084428.0000000000,392407.0000000000,-0.0096000000,4.0208442800,东方财富沪深京A股延迟行情直连,2026-08-25
600726,华电能源,5.5500000000,5.5700000000,401961944.0000000000,725305.0000000000,-0.0036000000,4.0196194400,东方财富沪深京A股延迟行情直连,2026-08-25
300457,赢合科技,20.8200000000,21.2600000000,401921311.5000000000,191573.0000000000,-0.0207000000,4.0192131150,东方财富沪深京A股延迟行情直连,2026-08-25
000593,德龙汇能,23.1000000000,22.5600000000,401673139.1200000048,177612.0000000000,0.0239000000,4.0167313912,东方财富沪深京A股延迟行情直连,2026-08-25
603466,风语筑,11.1400000000,11.0200000000,399870256.0000000000,361344.0000000000,0.0109000000,3.9987025600,东方财富沪深京A股延迟行情直连,2026-08-25
300693,盛弘股份,42.0000000000,42.3000000000,399412209.3000000119,95113.0000000000,-0.0071000000,3.9941220930,东方财富沪深京A股延迟行情直连,2026-08-25
603162,海通发展,11.9600000000,12.2200000000,399009778.0000000000,327764.0000000000,-0.0213000000,3.9900977800,东方财富沪深京A股延迟行情直连,2026-08-25
601698,中国卫通,23.7900000000,23.7600000000,398908382.0000000000,168845.0000000000,0.0013000000,3.9890838200,东方财富沪深京A股延迟行情直连,2026-08-25
688279,峰岹科技,182.6300000000,179.1200000000,398902468.0000000000,22257.0000000000,0.0196000000,3.9890246800,东方财富沪深京A股延迟行情直连,2026-08-25
600216,浙江医药,12.8700000000,12.5500000000,398819690.0000000000,311958.0000000000,0.0255000000,3.9881969000,东方财富沪深京A股延迟行情直连,2026-08-25
600546,山煤国际,13.3100000000,13.6600000000,398629506.0000000000,295068.0000000000,-0.0256000000,3.9862950600,东方财富沪深京A股延迟行情直连,2026-08-25
300690,双一科技,23.3600000000,20.3900000000,398370538.5500000119,170884.0000000000,0.1457000000,3.9837053855,东方财富沪深京A股延迟行情直连,2026-08-25
000534,万泽股份,24.1500000000,24.3300000000,398342751.6299999952,168221.0000000000,-0.0074000000,3.9834275163,东方财富沪深京A股延迟行情直连,2026-08-25
601886,江河集团,13.3700000000,13.2300000000,397352635.0000000000,296299.0000000000,0.0106000000,3.9735263500,东方财富沪深京A股延迟行情直连,2026-08-25
000519,中兵红箭,14.0900000000,13.9200000000,397328348.0400000215,284113.0000000000,0.0122000000,3.9732834804,东方财富沪深京A股延迟行情直连,2026-08-25
603444,吉比特,385.0900000000,380.8200000000,395235797.0000000000,10317.0000000000,0.0112000000,3.9523579700,东方财富沪深京A股延迟行情直连,2026-08-25
688003,天准科技,81.8000000000,82.7400000000,394435537.0000000000,48908.0000000000,-0.0114000000,3.9443553700,东方财富沪深京A股延迟行情直连,2026-08-25
300436,广生堂,92.2500000000,89.6600000000,394259894.9100000262,43514.0000000000,0.0289000000,3.9425989491,东方财富沪深京A股延迟行情直连,2026-08-25
603887,城地香江,9.2800000000,9.2300000000,393872578.0000000000,427646.0000000000,0.0054000000,3.9387257800,东方财富沪深京A股延迟行情直连,2026-08-25
300687,赛意信息,25.9200000000,26.1000000000,392839289.1100000143,153839.0000000000,-0.0069000000,3.9283928911,东方财富沪深京A股延迟行情直连,2026-08-25
688584,上海合晶,28.9400000000,29.7900000000,392751922.0000000000,138097.0000000000,-0.0285000000,3.9275192200,东方财富沪深京A股延迟行情直连,2026-08-25
688416,恒烁股份,75.9000000000,72.8700000000,392651535.0000000000,53605.0000000000,0.0416000000,3.9265153500,东方财富沪深京A股延迟行情直连,2026-08-25
601077,渝农商行,6.8700000000,7.0400000000,392104689.0000000000,566158.0000000000,-0.0241000000,3.9210468900,东方财富沪深京A股延迟行情直连,2026-08-25
001400,江顺科技,81.9200000000,81.1500000000,392102097.3100000024,47969.0000000000,0.0095000000,3.9210209731,东方财富沪深京A股延迟行情直连,2026-08-25
