日期,收盘价,成交量,成交额,日收益率,换手率,数据源,20日成交量活跃度代理,date,amount_100m,market_amount_100m,amount_share_of_a
2026-04-27,1507.6200000000,28215062.0000000000,51935100011.0000000000,0.0039000000,0.0187000000,东方财富创新药BK1106历史K线直连,0.8110327065,2026-04-27,519.3510001100,25709.6175571800,0.0202006506
2026-04-28,1497.0600000000,29175361.0000000000,61469130848.0000000000,-0.0070000000,0.0194000000,东方财富创新药BK1106历史K线直连,0.8387112891,2026-04-28,614.6913084800,25173.7165772300,0.0244179800
2026-04-29,1502.2100000000,27161658.0000000000,60900401367.0000000000,0.0034000000,0.0180000000,东方财富创新药BK1106历史K线直连,0.7816592010,2026-04-29,609.0040136700,25718.9356675900,0.0236792075
2026-04-30,1507.6900000000,26046048.0000000000,55498805605.0000000000,0.0036000000,0.0173000000,东方财富创新药BK1106历史K线直连,0.7648569511,2026-04-30,554.9880560500,27174.6976009500,0.0204229708
2026-05-06,1515.8400000000,27681523.0000000000,60519513902.0000000000,0.0054000000,0.0184000000,东方财富创新药BK1106历史K线直连,0.8418398066,2026-05-06,605.1951390200,32011.8041551300,0.0189053743
2026-05-07,1520.4200000000,24856455.0000000000,53943742479.0000000000,0.0030000000,0.0165000000,东方财富创新药BK1106历史K线直连,0.7785330751,2026-05-07,539.4374247900,31177.5446754400,0.0173021138
2026-05-08,1516.9800000000,24419168.0000000000,52832943390.0000000000,-0.0023000000,0.0162000000,东方财富创新药BK1106历史K线直连,0.7836318277,2026-05-08,528.3294339000,30182.7291460400,0.0175043626
2026-05-11,1544.8900000000,36043167.0000000000,76192061993.0000000000,0.0184000000,0.0239000000,东方财富创新药BK1106历史K线直连,1.1660151725,2026-05-11,761.9206199300,35033.7332171700,0.0217481995
2026-05-12,1523.5600000000,31943422.0000000000,77004264042.0000000000,-0.0138000000,0.0212000000,东方财富创新药BK1106历史K线直连,1.0446568588,2026-05-12,770.0426404200,32135.7925070900,0.0239621488
2026-05-13,1516.7400000000,25796890.0000000000,58643478076.0000000000,-0.0045000000,0.0171000000,东方财富创新药BK1106历史K线直连,0.8592253800,2026-05-13,586.4347807600,32106.7768739800,0.0182651402
2026-05-14,1485.5900000000,25044504.0000000000,56500993983.0000000000,-0.0205000000,0.0166000000,东方财富创新药BK1106历史K线直连,0.8399652015,2026-05-14,565.0099398300,33339.1573398900,0.0169473372
2026-05-15,1475.3100000000,23811324.0000000000,52767369459.0000000000,-0.0069000000,0.0158000000,东方财富创新药BK1106历史K线直连,0.8057625897,2026-05-15,527.6736945900,33122.1453853300,0.0159311448
2026-05-18,1454.9300000000,21828927.0000000000,45885859610.0000000000,-0.0138000000,0.0145000000,东方财富创新药BK1106历史K线直连,0.7767371647,2026-05-18,458.8585961000,28667.9769536300,0.0160059636
2026-05-19,1463.6000000000,19048009.0000000000,41207069488.0000000000,0.0060000000,0.0126000000,东方财富创新药BK1106历史K线直连,0.7054294445,2026-05-19,412.0706948800,28650.5843284900,0.0143826279
2026-05-20,1452.9200000000,23244731.0000000000,45204760309.0000000000,-0.0073000000,0.0154000000,东方财富创新药BK1106历史K线直连,0.8773056573,2026-05-20,452.0476030900,29273.7163934100,0.0154420982
2026-05-21,1440.0800000000,26815028.0000000000,62177139346.0000000000,-0.0088000000,0.0178000000,东方财富创新药BK1106历史K线直连,1.0170252408,2026-05-21,621.7713934600,34536.2443739200,0.0180034455
2026-05-22,1434.2500000000,22034665.0000000000,48665273964.0000000000,-0.0040000000,0.0146000000,东方财富创新药BK1106历史K线直连,0.8434726269,2026-05-22,486.6527396400,28757.3694842900,0.0169227140
2026-05-25,1419.5800000000,23547635.0000000000,45580044797.0000000000,-0.0102000000,0.0156000000,东方财富创新药BK1106历史K线直连,0.9048535196,2026-05-25,455.8004479700,31856.2297352500,0.0143080475
2026-05-26,1404.2100000000,22186357.0000000000,43074156466.0000000000,-0.0108000000,0.0147000000,东方财富创新药BK1106历史K线直连,0.8622419361,2026-05-26,430.7415646600,32197.9158879000,0.0133779331
2026-05-27,1392.1700000000,23062271.0000000000,45817858336.0000000000,-0.0086000000,0.0153000000,东方财富创新药BK1106历史K线直连,0.9009364666,2026-05-27,458.1785833600,32061.0190415500,0.0142908303
2026-05-28,1376.6500000000,20665035.0000000000,41797045168.0000000000,-0.0111000000,0.0137000000,东方财富创新药BK1106历史K线直连,0.8193709788,2026-05-28,417.9704516800,29470.0341759300,0.0141828967
2026-05-29,1381.5300000000,27609031.0000000000,59640373112.0000000000,0.0035000000,0.0183000000,东方财富创新药BK1106历史K线直连,1.0981111253,2026-05-29,596.4037311200,32974.8671329500,0.0180866151
2026-06-01,1379.9500000000,22880665.0000000000,52024285566.0000000000,-0.0011000000,0.0152000000,东方财富创新药BK1106历史K线直连,0.9178611276,2026-06-01,520.2428556600,28580.1561374500,0.0182029396
2026-06-02,1352.5100000000,20527748.0000000000,41170886656.0000000000,-0.0199000000,0.0136000000,东方财富创新药BK1106历史K线直连,0.8326900489,2026-06-02,411.7088665600,27729.1405569400,0.0148475163
2026-06-03,1337.3600000000,22163121.0000000000,39562765988.0000000000,-0.0112000000,0.0147000000,东方财富创新药BK1106历史K线直连,0.9092037399,2026-06-03,395.6276598800,31067.7152168000,0.0127343661
2026-06-04,1315.6000000000,18850506.0000000000,34772525893.0000000000,-0.0163000000,0.0125000000,东方财富创新药BK1106历史K线直连,0.7829547981,2026-06-04,347.7252589300,27381.9643582000,0.0126990618
2026-06-05,1317.7700000000,22503830.0000000000,42402619583.0000000000,0.0016000000,0.0149000000,东方财富创新药BK1106历史K线直连,0.9384281834,2026-06-05,424.0261958300,30481.6066870800,0.0139108873
2026-06-08,1282.6600000000,22983691.0000000000,39328140693.0000000000,-0.0266000000,0.0153000000,东方财富创新药BK1106历史K线直连,0.9852671558,2026-06-08,393.2814069300,27734.8512009900,0.0141800439
2026-06-09,1288.3000000000,19054893.0000000000,37791113271.0000000000,0.0044000000,0.0127000000,东方财富创新药BK1106历史K线直连,0.8400538219,2026-06-09,377.9111327100,26202.4466079000,0.0144227422
2026-06-10,1290.1100000000,19482569.0000000000,35877527363.0000000000,0.0014000000,0.0129000000,东方财富创新药BK1106历史K线直连,0.8710319344,2026-06-10,358.7752736300,26031.0286006200,0.0137826007
2026-06-11,1271.7500000000,19475482.0000000000,32899276815.0000000000,-0.0142000000,0.0129000000,东方财富创新药BK1106历史K线直连,0.8816913209,2026-06-11,328.9927681500,25369.8187171800,0.0129678801
2026-06-12,1296.1500000000,25724157.0000000000,48503441456.0000000000,0.0192000000,0.0171000000,东方财富创新药BK1106历史K线直连,1.1595597199,2026-06-12,485.0344145600,31999.7728041700,0.0151574331
2026-06-15,1295.5000000000,22090667.0000000000,38920553651.0000000000,-0.0005000000,0.0147000000,东方财富创新药BK1106历史K线直连,0.9951869567,2026-06-15,389.2055365100,30178.3327043900,0.0128968535
2026-06-16,1283.5600000000,19183376.0000000000,33790773038.0000000000,-0.0092000000,0.0127000000,东方财富创新药BK1106历史K线直连,0.8639497491,2026-06-16,337.9077303800,30486.6697359600,0.0110837862
2026-06-17,1269.9200000000,18385971.0000000000,32125034041.0000000000,-0.0106000000,0.0122000000,东方财富创新药BK1106历史K线直连,0.8371973327,2026-06-17,321.2503404100,30761.5615481500,0.0104432390
2026-06-18,1284.5300000000,23263879.0000000000,49311400041.0000000000,0.0115000000,0.0154000000,东方财富创新药BK1106历史K线直连,1.0679451281,2026-06-18,493.1140004100,32942.9461135000,0.0149687280
2026-06-22,1280.3600000000,27954003.0000000000,53650543284.0000000000,-0.0032000000,0.0186000000,东方财富创新药BK1106历史K线直连,1.2660474033,2026-06-22,536.5054328400,37207.7227270700,0.0144191956
2026-06-23,1322.2500000000,32743331.0000000000,63505130721.0000000000,0.0327000000,0.0217000000,东方财富创新药BK1106历史K线直连,1.4527069657,2026-06-23,635.0513072100,34250.3709091400,0.0185414432
2026-06-24,1317.0200000000,33684473.0000000000,71816298023.0000000000,-0.0040000000,0.0224000000,东方财富创新药BK1106历史K线直连,1.4572916480,2026-06-24,718.1629802300,32594.3592723400,0.0220333517
2026-06-25,1303.2500000000,31037143.0000000000,62953292178.0000000000,-0.0105000000,0.0206000000,东方财富创新药BK1106历史K线直连,1.3199892534,2026-06-25,629.5329217800,35790.3800172900,0.0175894450
2026-06-26,1253.0900000000,26096509.0000000000,52804590729.0000000000,-0.0385000000,0.0173000000,东方财富创新药BK1106历史K线直连,1.0971949056,2026-06-26,528.0459072900,35237.8769230900,0.0149851794
2026-06-29,1337.5200000000,39581529.0000000000,90127827043.0000000000,0.0674000000,0.0263000000,东方财富创新药BK1106历史K线直连,1.6232997077,2026-06-29,901.2782704300,35034.5519360700,0.0257254116
2026-06-30,1322.1000000000,35285829.0000000000,77297787614.0000000000,-0.0115000000,0.0234000000,东方财富创新药BK1106历史K线直连,1.4112279477,2026-06-30,772.9778761400,32602.1731815300,0.0237093973
2026-07-01,1389.5300000000,45357955.0000000000,104771139570.0000000000,0.0510000000,0.0301000000,东方财富创新药BK1106历史K线直连,1.7282416916,2026-07-01,1047.7113957000,36456.1701283500,0.0287389320
2026-07-02,1393.0900000000,41770894.0000000000,97944223354.0000000000,0.0026000000,0.0277000000,东方财富创新药BK1106历史K线直连,1.5342543314,2026-07-02,979.4422335400,34176.3435331300,0.0286584851
2026-07-03,1423.0400000000,40505891.0000000000,90423376580.0000000000,0.0215000000,0.0269000000,东方财富创新药BK1106历史K线直连,1.4308837284,2026-07-03,904.2337658000,31651.0172792800,0.0285688690
2026-07-06,1442.7700000000,48472246.0000000000,117374199185.0000000000,0.0139000000,0.0322000000,东方财富创新药BK1106历史K线直连,1.6372039455,2026-07-06,1173.7419918500,30710.4507685800,0.0382196276
