instrument_id,code,exchange,name,industry,price,change,change_5d,change_20d,ytd,amount_yi,mcap_yi,turnover,pe_ttm,pb,data_status
legacy:通富微电,002156,SZ,通富微电,半导体,63.73,0.040500,0.009200,0.140276,0.694091,54.45,967.16,0.057000,73.48,6.23,ok
legacy:金盘科技,688676,SH,金盘科技,电网设备,66.77,-0.077100,-0.008000,0.044914,-0.255306,24.07,307.00,0.078600,50.72,6.02,ok
legacy:兴业银锡,000426,SZ,兴业银锡,贵金属,40.69,0.014000,0.058300,0.296273,0.146520,32.40,722.51,0.044500,13.50,6.80,ok
legacy:华锡有色,600301,SH,华锡有色,小金属,47.69,0.019700,0.007400,0.199447,0.255992,3.52,301.67,0.027000,28.25,5.92,ok
legacy:杰瑞股份,002353,SZ,杰瑞股份,专用设备,136.24,-0.009200,-0.111000,0.083592,0.942595,34.99,1394.90,0.037300,58.32,5.99,ok
legacy:应流股份,603308,SH,应流股份,通用设备,45.05,0.025000,0.011000,0.085804,0.083193,5.90,326.08,0.018300,67.84,5.04,ok
legacy:天岳先进,688234,SH,天岳先进,半导体,109.56,0.045100,0.012600,0.346773,0.232673,8.60,530.95,0.018400,-452.90,7.47,ok
legacy:胜宏科技,300476,SZ,胜宏科技,元件,263.05,0.054600,0.037900,0.458472,-0.078911,102.08,2585.22,0.045500,50.16,16.50,ok
legacy:建滔积层板,01888,HK,建滔积层板,电子设备和元件[HK],43.94,0.105100,0.222600,0.507893,2.331312,43.39,1384.75,0.032000,31.50,7.55,ok
legacy:圣邦股份,300661,SZ,圣邦股份,半导体,116.90,0.029900,0.002700,0.304979,0.708065,8.46,801.43,0.012100,161.98,14.99,ok
legacy:信达生物,01801,HK,信达生物,生物科技Ⅲ[HK],107.60,-0.020000,0.063200,0.221339,0.411148,15.24,1876.20,0.008100,131.33,7.83,ok
legacy:中瓷电子,003031,SZ,中瓷电子,通信设备,131.35,0.034900,0.017200,0.441822,0.806243,15.69,592.46,0.035400,73.55,9.30,ok
legacy:百济神州,06160,HK,百济神州,化学制药[HK],226.00,-0.009600,-0.007900,0.152473,0.260457,6.48,3485.56,0.002000,68.03,8.59,ok
legacy:麦格米特,002851,SZ,麦格米特,其他电源设备,127.66,0.037000,0.079300,0.319210,0.417814,36.73,746.82,0.059400,162.80,8.34,ok
legacy:恒立液压,601100,SH,恒立液压,工程机械,103.00,0.060200,0.015800,0.000000,-0.058070,11.05,1381.05,0.008100,48.08,7.71,ok
legacy:帝尔激光,300776,SZ,帝尔激光,光伏设备,115.81,0.061200,0.008400,0.200104,0.875405,8.25,330.33,0.040400,54.00,6.69,ok
legacy:中控技术,688777,SH,中控技术,自动化设备,91.70,0.013100,0.000000,0.134901,0.868987,9.75,725.52,0.013600,242.87,7.39,ok
